,edades,genero,salarios,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaños_empresa,lenguaje_programacion
215,18-29,Hombre,bajo,Colombia,Master,Data Analyst,1-3 years,Energía/Minería,Mediana,"Python, R, SQL"
216,60-70+,Hombre,bajo,Mexico,Master,Data Analyst,5-10 years,Gobierno/servicio público,Multinacional,"Python, R, SQL, Java"
217,18-29,Hombre,bajo,Japon,Master,Business Analyst,5-10 years,Gobierno/servicio público,Multinacional,"Python, R, SQL, C, C++, Swift, Bash"
218,30-44,Hombre,alto,Arabia Saudi,Doctorado,Data Analyst,3-5 years,Académico/Educación,Mediana,"Python, R, SQL, C++, Java"
219,30-44,Hombre,bajo,Argentina,Estudios Univertarios sin licenciatura,Business Analyst,1-3 years,Otros,Mediana,"Python, R, SQL"
220,18-29,Hombre,bajo,Mexico,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,Python
221,18-29,Hombre,alto,Corea del Sur,Grado Universitario,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
222,30-44,Hombre,medio,Arabia Saudi,Grado Universitario,Business Analyst,10-20 years,Ventas al por menor,Pequeña,"Python, SQL, Other"
223,30-44,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,< 1 years,Envío/Transporte,Startup,"Python, R, SQL"
224,18-29,Hombre,No sabe/No contesta,Japon,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,"Python, C++"
225,18-29,Mujes,bajo,Turquia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
226,18-29,Hombre,No sabe/No contesta,Turquia,Grado Universitario,Data Analyst,I have never written code,Otros,Startup,No sabe/No contesta
227,30-44,Hombre,bajo,India,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, Julia"
228,30-44,Hombre,medio,Francia,Doctorado,Data Analyst,20+ years,Tecnológico,Multinacional, R
229,18-29,Hombre,medio,Japon,Grado Universitario,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, SQL"
230,60-70+,Hombre,medio,Estados Unidos,Master,Data Analyst,10-20 years,Tecnológico,Multinacional," SQL, Other"
231,30-44,Hombre,alto,Francia,Master,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, Java"
232,30-44,Hombre,bajo,Argentina,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Energía/Minería,Startup, SQL
233,30-44,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Business Analyst,1-3 years,Académico/Educación,Grande,"Python, Java"
234,30-44,Hombre,bajo,India,Master,Business Analyst,1-3 years,Fabricación,Multinacional, R
235,18-29,Hombre,bajo,Ghana,Prefiero no responder,Data Analyst,10-20 years,Envío/Transporte,Mediana,Python
236,18-29,Hombre,bajo,India,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, SQL"
237,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
238,18-29,Hombre,alto,India,Grado Universitario,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, R, SQL, C, C++, Java, Javascript, Bash, MATLAB"
239,45-59,Hombre,No sabe/No contesta,Marruecos,Grado Universitario,Data Analyst,10-20 years,Otros,Startup,"Python, R, SQL, Bash"
240,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,,No sabe/No contesta, Other
241,18-29,Hombre,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL"
242,18-29,Mujes,No sabe/No contesta,Estados Unidos,Master,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL, Java, Javascript"
243,30-44,Hombre,medio,India,Master,Data Analyst,I have never written code,Militar/Seguridad/Defensa,Grande,No sabe/No contesta
244,18-29,Mujes,bajo,India,Master,Data Analyst,< 1 years,Tecnológico,Mediana, C
245,18-29,Hombre,bajo,India,Master,Business Analyst,3-5 years,Tecnológico,Grande,"Python, SQL, C++"
246,30-44,Hombre,alto,China,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
247,18-29,Hombre,bajo,India,Master,Data Analyst,< 1 years,Académico/Educación,Startup,Python
248,18-29,Hombre,No sabe/No contesta,Japon,Estudios Univertarios sin licenciatura,Data Analyst,I have never written code,Marketing/CRM,Startup,No sabe/No contesta
249,18-29,Hombre,medio,España,Estudios Univertarios sin licenciatura,Data Analyst,3-5 years,Ventas al por menor,Mediana,"Python, SQL"
250,18-29,Hombre,alto,China,Master,Data Analyst,1-3 years,Otros,Multinacional,"Python, SQL"
251,18-29,Hombre,bajo,India,Master,Data Analyst,I have never written code,Servicio en línea/Servicios basados ​​en Internet,Multinacional,No sabe/No contesta
252,18-29,Hombre,alto,India,Grado Universitario,Business Analyst,I have never written code,Académico/Educación,Grande,No sabe/No contesta
253,30-44,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Radio/Comunicaciones,Grande,Python
254,18-29,Hombre,bajo,Polonia,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,Python
255,18-29,Hombre,No sabe/No contesta,Tailandia,Grado Universitario,Data Analyst,< 1 years,Otros,Startup,"Python, R, SQL"
256,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Médico/farmacéutico,Grande,"Python, SQL"
257,30-44,Hombre,alto,India,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, R"
258,18-29,Hombre,bajo,Mexico,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, R, Julia, MATLAB"
259,30-44,Hombre,medio,India,Master,Data Analyst,< 1 years,Envío/Transporte,Multinacional,"Python, SQL"
260,18-29,Hombre,bajo,India,Master,Data Analyst,< 1 years,Fabricación,Mediana,Python
261,30-44,Hombre,alto,Otros,Grado Universitario,Data Analyst,1-3 years,Otros,Startup,"Python, SQL, Javascript"
262,30-44,Mujes,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Otros,Startup,Python
263,30-44,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, C++"
264,18-29,Mujes,bajo,Kenia,Master,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, SQL"
265,30-44,Mujes,bajo,Argentina,Master,Data Analyst,< 1 years,Médico/farmacéutico,Startup,"Python, SQL"
266,30-44,Mujes,alto,Emiratos Arabes,Master,Business Analyst,5-10 years,Médico/farmacéutico,Multinacional," SQL, C, C++, Java, Javascript"
267,30-44,Hombre,alto,Suiza,Grado Universitario,Data Analyst,1-3 years,Otros,Mediana,"Python, R, SQL, Julia, Bash"
268,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,I have never written code,Fabricación,Startup,No sabe/No contesta
269,18-29,Hombre,No sabe/No contesta,Marruecos,Prefiero no responder,Data Analyst,< 1 years,,No sabe/No contesta,Python
270,30-44,Hombre,bajo,Nigeria,Grado Universitario,Data Analyst,1-3 years,Ventas al por menor,Mediana,Python
271,30-44,Hombre,bajo,India,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
272,18-29,Mujes,alto,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, MATLAB"
273,18-29,Hombre,bajo,Otros,Master,Data Analyst,3-5 years,Gobierno/servicio público,Startup,"Python, R, SQL"
274,30-44,Hombre,medio,Otros,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
275,18-29,Hombre,No sabe/No contesta,Kenia,Grado Universitario,Business Analyst,< 1 years,Seguro/Evaluación de Riesgos,Pequeña,"Python, R"
276,18-29,Mujes,No sabe/No contesta,Turquia,Grado Universitario,Business Analyst,1-3 years,Tecnológico,Mediana,"Python, SQL, MATLAB"
277,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R, SQL, MATLAB"
278,45-59,Mujes,No sabe/No contesta,Otros,Estudios Univertarios sin licenciatura,Data Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
279,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Gobierno/servicio público,Startup,"Python, R"
280,30-44,Mujes,bajo,Mexico,Master,Business Analyst,3-5 years,Marketing/CRM,Startup,"Python, R, SQL"
281,18-29,Hombre,medio,Taiwan,Master,Data Analyst,5-10 years,Gobierno/servicio público,Pequeña,"Python, R, C++, MATLAB"
282,30-44,Mujes,bajo,Sri Lanka,Master,Business Analyst,I have never written code,Fabricación,Mediana,No sabe/No contesta
283,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,< 1 years,Radio/Comunicaciones,Multinacional,"Python, SQL"
284,18-29,Mujes,bajo,Rusia,Master,Business Analyst,< 1 years,Marketing/CRM,Grande,"Python, SQL, MATLAB"
285,45-59,Mujes,alto,Estados Unidos,Master,Data Analyst,5-10 years,Militar/Seguridad/Defensa,Multinacional,"Python, SQL"
286,18-29,Mujes,bajo,Arabia Saudi,Master,Data Analyst,5-10 years,Tecnológico,Pequeña,"Python, Java"
287,18-29,Hombre,bajo,Otros,Grado Universitario,Data Analyst,5-10 years,Médico/farmacéutico,Startup,"Python, SQL"
288,30-44,Hombre,bajo,India,Master,Data Analyst,10-20 years,Tecnológico,Grande, None
289,45-59,Hombre,medio,India,Grado Universitario,Data Analyst,10-20 years,Gobierno/servicio público,Startup," SQL, Javascript"
290,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Startup,"Python, SQL, MATLAB"
291,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
292,30-44,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, SQL"
293,18-29,Hombre,bajo,India,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Mediana,"Python, SQL"
294,30-44,Hombre,bajo,Indonesia,Master,Data Analyst,1-3 years,Académico/Educación,Grande,Python
295,30-44,Hombre,bajo,Brasil,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Startup,Python
296,18-29,Hombre,bajo,Brasil,Master,Business Analyst,5-10 years,Energía/Minería,Startup,"Python, R, SQL, C, Javascript, MATLAB"
297,30-44,Hombre,bajo,Rusia,Prefiero no responder,Business Analyst,< 1 years,Energía/Minería,Grande, None
298,18-29,Hombre,alto,China,Master,Data Analyst,3-5 years,Tecnológico,Grande,"Python, SQL"
299,45-59,Hombre,alto,Estados Unidos,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,Python
300,45-59,Hombre,bajo,Peru,Prefiero no responder,Business Analyst,5-10 years,Académico/Educación,Pequeña,"Python, SQL"
301,18-29,Hombre,No sabe/No contesta,Pakistan,Master,Data Analyst,< 1 years,Tecnológico,Startup, Javascript
302,30-44,Hombre,medio,Japon,Grado Universitario,Business Analyst,I have never written code,Fabricación,Pequeña,No sabe/No contesta
303,18-29,Hombre,bajo,India,Master,Business Analyst,I have never written code,Tecnológico,Mediana,No sabe/No contesta
304,30-44,Hombre,alto,Francia,Master,Business Analyst,3-5 years,Fabricación,Grande," R, SQL, Other"
305,30-44,Hombre,alto,Indonesia,Doctorado,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional, SQL
306,30-44,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,10-20 years,Académico/Educación,Startup,"Python, R, SQL, C, C++"
307,18-29,Hombre,bajo,India,Master,Business Analyst,I have never written code,ONG/Servicio,Multinacional,No sabe/No contesta
308,30-44,Mujes,alto,Estados Unidos,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Grande,"Python, R, SQL"
309,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,I have never written code,Tecnológico,Startup,No sabe/No contesta
310,18-29,Mujes,No sabe/No contesta,India,Master,Business Analyst,5-10 years,,No sabe/No contesta,"Python, R, SQL"
311,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Startup,Python
312,30-44,Hombre,bajo,Chile,Master,Business Analyst,< 1 years,Envío/Transporte,Grande,"Python, R, SQL"
313,30-44,Hombre,bajo,Otros,Master,Data Analyst,3-5 years,Gobierno/servicio público,Mediana,"Python, R, SQL, Bash"
314,30-44,Hombre,alto,Japon,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
315,18-29,Hombre,alto,Reino Unido,Master,Data Analyst,3-5 years,Seguro/Evaluación de Riesgos,Grande,"Python, R, SQL"
316,18-29,Mujes,No sabe/No contesta,India,Estudios Univertarios sin licenciatura,Data Analyst,3-5 years,Académico/Educación,Multinacional,"Python, SQL, C++"
317,30-44,Hombre,No sabe/No contesta,Sudafrica,Grado Universitario,Data Analyst,3-5 years,Energía/Minería,Startup,"Python, Javascript"
318,18-29,Hombre,bajo,Hong Kong (S.A.R.),Master,Data Analyst,1-3 years,Académico/Educación,Mediana,Python
319,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, R, Javascript"
320,30-44,Hombre,medio,Arabia Saudi,Master,Data Analyst,< 1 years,Médico/farmacéutico,Pequeña,"Python, SQL"
321,18-29,Hombre,bajo,India,Master,Data Analyst,I have never written code,Médico/farmacéutico,Startup,No sabe/No contesta
322,18-29,Mujes,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Grande,Python
323,30-44,Hombre,alto,Otros,Grado Universitario,Data Analyst,20+ years,Fabricación,Grande,"Python, SQL, Other"
324,30-44,Mujes,bajo,Brasil,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Grande," R, SQL"
325,18-29,Hombre,bajo,Pakistan,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Pequeña, None
326,30-44,Hombre,alto,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Otros,Grande,"Python, SQL"
327,18-29,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Mediana,"Python, SQL"
328,18-29,Hombre,medio,India,Master,Business Analyst,1-3 years,Marketing/CRM,Multinacional,"Python, SQL"
329,18-29,Hombre,medio,Polonia,Master,Data Analyst,1-3 years,Fabricación,Multinacional,Python
330,18-29,Hombre,No sabe/No contesta,Ecuador,Grado Universitario,Data Analyst,< 1 years,Médico/farmacéutico,Multinacional,Python
331,30-44,Hombre,bajo,Rusia,Grado Universitario,Business Analyst,< 1 years,Otros,Startup,Python
332,30-44,Hombre,bajo,Kenia,Master,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, R, SQL"
333,45-59,Hombre,bajo,India,Master,Business Analyst,1-3 years,Tecnológico,Grande,"Python, C++, Javascript"
334,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,3-5 years,Tecnológico,Startup,Python
335,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,3-5 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
336,30-44,Hombre,No sabe/No contesta,Bangladesh,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Gobierno/servicio público,Pequeña," R, SQL, C, Javascript, Bash"
337,30-44,Hombre,medio,Francia,Master,Data Analyst,10-20 years,Médico/farmacéutico,Pequeña,Python
338,30-44,Prefiero no decirlo,bajo,Malasia,Master,Data Analyst,1-3 years,Envío/Transporte,Mediana,"Python, R"
339,18-29,Mujes,bajo,China,Grado Universitario,Data Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, SQL"
340,45-59,Hombre,medio,Ucrania,Doctorado,Business Analyst,20+ years,Radio/Comunicaciones,Startup,"Python, SQL, Other"
341,18-29,Hombre,bajo,Taiwan,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Mediana,Python
342,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,I have never written code,Contabilidad/Finanzas,Pequeña,No sabe/No contesta
343,18-29,Hombre,No sabe/No contesta,Kenia,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup,"Python, SQL, MATLAB"
344,18-29,Hombre,alto,Estados Unidos,Master,Data Analyst,5-10 years,Energía/Minería,Pequeña,"Python, SQL"
345,45-59,Hombre,bajo,Nigeria,Master,Business Analyst,I have never written code,Otros,Startup,No sabe/No contesta
346,18-29,Hombre,No sabe/No contesta,Rusia,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL"
347,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL, MATLAB"
348,30-44,Hombre,bajo,India,Master,Data Analyst,1-3 years,Fabricación,Startup, R
349,18-29,Hombre,bajo,Indonesia,Grado Universitario,Business Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
350,18-29,Hombre,bajo,Rusia,Master,Data Analyst,< 1 years,Energía/Minería,Pequeña, Swift
351,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
352,30-44,Hombre,medio,India,Grado Universitario,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, SQL"
353,18-29,Hombre,medio,India,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
354,30-44,Hombre,alto,Singapur,Grado Universitario,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande,"Python, SQL, Javascript"
355,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,Otros,Grande,"Python, SQL, Other"
356,18-29,Hombre,alto,Paises Bajos,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
357,45-59,Hombre,alto,Brasil,Grado Universitario,Business Analyst,20+ years,Tecnológico,Multinacional,"Python, SQL, Other"
358,18-29,Hombre,bajo,Ecuador,Master,Data Analyst,1-3 years,Gobierno/servicio público,Mediana,"Python, R"
359,45-59,Hombre,bajo,Otros,Master,Data Analyst,20+ years,ONG/Servicio,Startup,"Python, R, C"
360,18-29,Hombre,bajo,India,Master,Business Analyst,< 1 years,Marketing/CRM,Multinacional,"Python, R, SQL"
361,18-29,Hombre,medio,Rusia,Master,Data Analyst,< 1 years,Militar/Seguridad/Defensa,Mediana,"Python, R, SQL, Javascript"
362,18-29,Mujes,No sabe/No contesta,Polonia,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,Python
363,30-44,Mujes,No sabe/No contesta,Egipto,Master,Data Analyst,1-3 years,Académico/Educación,Startup,Python
364,30-44,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,< 1 years,,No sabe/No contesta,"Python, R, SQL"
365,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Tecnológico,Startup,"Python, R, SQL"
366,30-44,Mujes,bajo,Brasil,Doctorado,Data Analyst,20+ years,Académico/Educación,Mediana,"Python, R, SQL, Javascript"
367,30-44,Hombre,No sabe/No contesta,Suiza,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional," SQL, Other"
368,45-59,Hombre,alto,Estados Unidos,Master,Business Analyst,< 1 years,Ventas al por menor,Startup,"Python, R, SQL"
369,18-29,Mujes,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
370,45-59,Hombre,medio,Peru,Grado Universitario,Data Analyst,5-10 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, SQL"
371,30-44,Hombre,No sabe/No contesta,Pakistan,Grado Universitario,Data Analyst,I have never written code,Tecnológico,Grande,No sabe/No contesta
372,30-44,Hombre,medio,Nigeria,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, SQL"
373,30-44,Hombre,medio,España,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
374,18-29,Mujes,medio,Estados Unidos,Master,Data Analyst,< 1 years,Académico/Educación,Multinacional,"Python, R, MATLAB"
